Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2020-031,(3) Design with Entitlements Approved,1580 Pacific (2030 Post),1580,Pacific,Ave,94109,0573,011,3,Russian Hill,Nob Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,,,2022-12-02T00:00:00.000,2025-01-25T00:00:00.000,"JS Pacific Street Partners, LLC",,,2018-008259PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2018-008259PRJ'},,2020-12-03T00:00:00.000,"On-site BMR Project, Fee Payment",53,9,44,17.00,0,0,5,3,1,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,2,0,0,37.795110000000,-122.421280000000,"{'latitude': '37.79511', 'longitude': '-122.42128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-037,(3) Design with Entitlements Approved,301 Grove,301,Grove,St,94102,0809,001,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,2023-07-01T00:00:00.000,,,2020-10-23T00:00:00.000,2022-12-17T00:00:00.000,SFAR,,,2015-015133PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-015133PRJ'},,2018-10-25T00:00:00.000,Fee Payment,12,0,12,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.777828982000,-122.421791709999,"{'latitude': '37.777828982', 'longitude': '-122.421791709999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-109,(5) First Construction Document Issued,1001 Van Ness,1001,Van Ness,Ave,94109,0714,016,5,Western Addition,Western Addition,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2020-01-02T00:00:00.000,2020-04-13T00:00:00.000,2020-04-13T00:00:00.000,2022-06-07T00:00:00.000,"Oryx Partners, LLC",,,2018-013413PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2018-013413PRJ'},"2014.1305CUA,2014.1305U",2016-10-20T00:00:00.000,Exempt Project,239,0,239,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.784929753000,-122.421910844999,"{'latitude': '37.784929753', 'longitude': '-122.421910844999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-055,(5) First Construction Document Issued,53 Colton (on-site BMR units for 1629 Market),53,Colton,St,94103,3505,052,6,Mission,South of Market,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2020-10-01T00:00:00.000,2020-05-18T00:00:00.000,,2020-10-01T00:00:00.000,2022-05-31T00:00:00.000,Community Housing Partnership,Strada Investment Group,"53 Colton, L.P.",2015-005848PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-005848PRJ'},"2015-005848CUA,2015-005848ENV,2015-005848GPA,2015-005848PCA,2015-005848PPA,2016-005955DVA,2016-005955TDM",2017-10-19T00:00:00.000,On-site BMR Project,96,96,0,100,0,96,0,0,0,0,0,10,0,,0,0,0,96,0,96,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,37.773071000000,-122.419868000000,"{'latitude': '37.773071', 'longitude': '-122.419868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-010,(5) First Construction Document Issued,1535 Jackson St,1535,Jackson,St,94109,0597,022,3,Russian Hill,Nob Hill,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2019-05-07T00:00:00.000,2020-02-13T00:00:00.000,,,2020-02-13T00:00:00.000,2021-04-30T00:00:00.000,Chinatown Community Development Center,,"CCDC Small Sites, LLC",2019-017770PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2019-017770PRJ'},,,,30,30,0,100,30,0,0,0,0,0,0,0,0,,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,37.794194000000,-122.420356000000,"{'latitude': '37.794194', 'longitude': '-122.420356', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2010-003,(5) First Construction Document Issued,Casa de la Mision,3001,24th,St,94110,6522,064,9,Mission,Mission,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2020-01-01T00:00:00.000,2019-03-18T00:00:00.000,2019-12-11T00:00:00.000,2019-12-11T00:00:00.000,2021-03-08T00:00:00.000,Mercy Housing California,Mission Neighborhood Centers,Mercy Housing California 59,2017-002915PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2017-002915PRJ'},,2018-07-12T00:00:00.000,,45,44,1,98.00,0,44,0,0,0,0,0,23,1,studio,0,44,0,44,0,44,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,37.752439671000,-122.412199451999,"{'latitude': '37.752439671', 'longitude': '-122.412199451999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-025,(3) Design with Entitlements Approved,4128 3rd St,4128,3rd,St,94124,5260,036,10,Bayview Hunters Point,Bayview,OCII,Inclusionary Housing Program,0,New Construction,Ownership,,,,,2022-04-06T00:00:00.000,2024-05-30T00:00:00.000,"Bay View Heights, LLC",,,Not applicable,,,2020-04-07T00:00:00.000,On-site BMR Project,8,1,7,13.00,0,0,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37.739980000000,-122.389230000000,"{'latitude': '37.73998', 'longitude': '-122.38923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-016,(5) First Construction Document Issued,349 8th,349,8th,St,94103,3755,054,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2018-06-19T00:00:00.000,2018-12-27T00:00:00.000,2018-12-27T00:00:00.000,2021-02-19T00:00:00.000,RG Architecture,,,2015-004085PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-004085PRJ'},"2015-004085ENV,2015-004085ENX,2015-004085PPA,2015-004085TDM",2017-05-18T00:00:00.000,On-site BMR Project,38,6,32,16.00,0,1,3,2,0,0,0,0,0,,153,0,0,253,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,37.774683235000,-122.409189202999,"{'latitude': '37.774683235', 'longitude': '-122.409189202999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-029,(6) Complete,2444 Lombard,2444,Lombard,St,94123,0936,014,2,Marina,Marina,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2018-10-03T00:00:00.000,2018-10-03T00:00:00.000,2018-10-03T00:00:00.000,2020-05-22T00:00:00.000,JS Sullivan Development,,,2014.1183,{'url': 'http://propertymap.sfplanning.org/?search=2014.1183'},"2014.1183CUA,2014.1183ENV,2014.1183PPA,2014.1183TDM,2014.1183U",2017-10-19T00:00:00.000,On-site BMR Project,41,6,35,15.00,0,0,2,4,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,37.799413573000,-122.442052406999,"{'latitude': '37.799413573', 'longitude': '-122.442052406999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-002,(5) First Construction Document Issued,3254 23rd St,3254-3264,23rd,St,94110,3637,019C,9,Mission,Mission,MOHCD,Small Sites Program,0,Rehabilitation,Rental,2020-03-20T00:00:00.000,2020-06-15T00:00:00.000,,,2020-06-15T00:00:00.000,2021-02-19T00:00:00.000,Mission Economic Development Agency,,"MEDA Small Properties, LLC",2020-005716PRL,{'url': 'http://propertymap.sfplanning.org/?search=2020-005716PRL'},,,,6,6,0,100,0,2,4,0,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,37.754020000000,-122.417770000000,"{'latitude': '37.75402', 'longitude': '-122.41777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-070,(5) First Construction Document Issued,555 Larkin (formerly 500 Turk),500,Turk,St,94102,0741,002,6,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,2020-02-12T00:00:00.000,2018-12-28T00:00:00.000,2020-01-30T00:00:00.000,2020-01-30T00:00:00.000,2021-12-27T00:00:00.000,Tenderloin Neighborhood Development Corporation,,"Turk 500 Associates, L.P.",2016-010340PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-010340PRJ'},,2018-12-28T00:00:00.000,,108,107,1,99.00,0,23,20,50,14,0,0,11,1,1bd,107,0,0,0,0,0,27,0,22,16,37,0,21,11,0,0,0,0,0,0,0,0,37.782616502000,-122.417748284999,"{'latitude': '37.782616502', 'longitude': '-122.417748284999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-030,(5) First Construction Document Issued,188 Octavia St (Parcel T),188,Octavia,St,94102,0853,"022, 034",5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-09-07T00:00:00.000,2019-02-27T00:00:00.000,2019-02-27T00:00:00.000,2020-08-28T00:00:00.000,Linden Partners Investment LLC,,,2014.1509,{'url': 'http://propertymap.sfplanning.org/?search=2014.1509'},"2014.1509DRP,2014.1509ENV,2014.1509GPR,2014.1509U,2014.1509VAR",2017-08-24T00:00:00.000,On-site BMR Project,28,4,24,14.00,0,2,0,2,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,37.773658319000,-122.423699230999,"{'latitude': '37.773658319', 'longitude': '-122.423699230999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-090,(1) Preliminary Phase,Mission Bay South 4 East,,Address not yet assigned,,94158,8711,029,6,Mission Bay,South of Market,OCII,Multifamily Rental Program,Mission Bay,New Construction,Rental,,2021-12-01T00:00:00.000,,,2021-12-01T00:00:00.000,2023-12-01T00:00:00.000,Developer not yet selected,,Developer not yet selected,Not Applicable,,,,,34,33,1,97.00,0,0,0,0,0,0,0,0,1,,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,37.772435003000,-122.390088704999,"{'latitude': '37.772435003', 'longitude': '-122.390088704999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-014,(1) Preliminary Phase,Treasure Island E1.2- HR360/CHP Site,,Address not yet assigned,,94130,0,0,6,Treasure Island,Treasure Island/YBI,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,,,,,Not Yet Available,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0E-12,0E-12,"{'latitude': '0.0', 'longitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-024,(4) Site Work Permit Issued,980 Folsom,980,Folsom,St,94103,3732,"028, 035, 152",6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2019-02-27T00:00:00.000,,2019-08-28T00:00:00.000,2021-10-21T00:00:00.000,Goldman Architecture,,,2013.0977,{'url': 'http://propertymap.sfplanning.org/?search=2013.0977'},"2013.0977E,2013.0977ENX,2013.0977PPA,2013.0977SHD,2013.0977TDM,2013.0977U",2017-10-05T00:00:00.000,On-site BMR Project,33,4,29,12.00,0,0,2,2,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,37.779076736000,-122.405387103999,"{'latitude': '37.779076736', 'longitude': '-122.405387103999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-007,(5) First Construction Document Issued,2177 3rd (aka 700 Illinois),2177,3rd,St,94107,4045,003,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2017-06-08T00:00:00.000,2017-12-27T00:00:00.000,2017-12-27T00:00:00.000,2020-07-15T00:00:00.000,"M. Gaehwiler Construction, Inc.",,,2013.0784,{'url': 'http://propertymap.sfplanning.org/?search=2013.0784'},"2013.0784CND,2013.0784E,2013.0784K,2013.0784U,2013.0784X",2017-07-20T00:00:00.000,"On-site BMR Project, Fee Payment",114,8,106,7.00,0,1,4,3,0,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,37.762235530000,-122.388291038999,"{'latitude': '37.76223553', 'longitude': '-122.388291038999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2013-016,(6) Complete,2290 3rd,2290,3rd,St,94107,4059,009,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2016-07-29T00:00:00.000,2018-10-25T00:00:00.000,2018-10-25T00:00:00.000,2020-12-21T00:00:00.000,"2290 Dogpatch, LLC",,,2005.0408,{'url': 'http://propertymap.sfplanning.org/?search=2005.0408'},"2005.0408E,2005.0408E_3,2005.0408K,2005.0408X",2013-08-08T00:00:00.000,Fee Payment,71,0,71,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.760798250000,-122.388901957999,"{'latitude': '37.76079825', 'longitude': '-122.388901957999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
1990-008,(5) First Construction Document Issued,Hamlin Hotel,385,Eddy,St,94102,0338,018,6,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,0,Rehabilitation,Rental,,2019-09-16T00:00:00.000,,,2019-09-16T00:00:00.000,2021-02-15T00:00:00.000,Chinatown Community Development Center,,"Hamlin Hotel 2019, LP",Not Applicable,,,,,69,67,2,97.00,67,0,0,0,0,0,0,0,2,SRO,67,0,0,67,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,37.783559921000,-122.413863073999,"{'latitude': '37.783559921', 'longitude': '-122.413863073999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-127,(2) Predevelopment Feasibility,CPS- Block 6a,99,Harney,Way,94124,5000,033,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,,2023-07-01T00:00:00.000,,,2023-07-01T00:00:00.000,2023-12-23T00:00:00.000,,,,Not Applicable,,,,,128,13,115,10.0,0,0,0,0,0,0,0,0,0,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,37.712887032000,-122.383163297999,"{'latitude': '37.712887032', 'longitude': '-122.383163297999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-052,(6) Complete,2224 Clement,2224,Clement,St,94121,1410,021,1,Outer Richmond,Outer Richmond,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2018-01-23T00:00:00.000,,2018-07-24T00:00:00.000,2020-04-20T00:00:00.000,,,,2014-001676PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2014-001676PRJ'},"2014-001676CND,2014-001676CUA,2014-001676ENV,2014-001676PPA,2014-001676VAR",2016-05-12T00:00:00.000,Fee Payment,16,0,16,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.782334589000,-122.483417299999,"{'latitude': '37.782334589', 'longitude': '-122.483417299999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-038,(6) Complete,Washburn Hotel,42,Washburn,St,94103,3509,044,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,0,Rehabilitation,Rental,,2019-01-01T00:00:00.000,,,2019-01-01T00:00:00.000,2020-12-30T00:00:00.000,Conard House,,Conard House Development Corp,Not Applicable,,,,,22,22,0,100,22,0,0,0,0,0,0,6,0,,22,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,37.775282514000,-122.414590425999,"{'latitude': '37.775282514', 'longitude': '-122.414590425999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-011,(5) First Construction Document Issued,603 Tennessee,603,Tennessee,St,94107,3995,015,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,2018-06-26T00:00:00.000,2018-10-16T00:00:00.000,2018-10-16T00:00:00.000,2020-12-09T00:00:00.000,,,,2015-011202PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2015-011202PRJ'},"2015-011202ENV,2015-011202PPA,2015-011202TDM,2015-011202VAR",2018-01-30T00:00:00.000,On-site BMR Project,24,3,21,13.00,0,1,0,2,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,37.764005183000,-122.389515904999,"{'latitude': '37.764005183', 'longitude': '-122.389515904999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2020-011,(1) Preliminary Phase,160 Freelon St (Land Dedication Site),160,Freelon,St,94107,3777,052,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,,Developer not yet selected,,,Not Yet Available,,,,,90,89,1,99.00,0,0,0,0,0,0,0,0,0,,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,37.777780000000,-122.398370000000,"{'latitude': '37.77778', 'longitude': '-122.39837', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-085,(5) First Construction Document Issued,Mission Bay South Block 9,410,China Basin,St,94158,8719,003,6,Mission Bay,South of Market,OCII,Multifamily Rental Program,Mission Bay,New Construction,Rental,,2020-08-12T00:00:00.000,2019-05-14T00:00:00.000,2020-07-07T00:00:00.000,2020-07-07T00:00:00.000,2021-12-31T00:00:00.000,BRIDGE Housing Corporation,Community Housing Partnership,Mission Bay 9 LP,Not Applicable,,,,,141,140,1,99.00,0,140,0,0,0,0,0,14,1,1bd,140,0,0,140,0,140,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,37.772541330000,-122.388323222999,"{'latitude': '37.77254133', 'longitude': '-122.388323222999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-113,(6) Complete,345 6th,345,6th,St,94107,3753,598-700 (103 parcels),6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2017-04-05T00:00:00.000,2017-12-07T00:00:00.000,2017-12-07T00:00:00.000,2020-11-03T00:00:00.000,"SST Investments, LLC",,,2013.1773,{'url': 'http://propertymap.sfplanning.org/?search=2013.1773'},"2013.1773E,2013.1773K,2013.1773U,2013.1773X,2013.1773X_OLD",2016-11-10T00:00:00.000,On-site BMR Project,102,14,88,14.00,14,0,0,0,0,0,0,0,0,,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,37.778164901000,-122.404677383999,"{'latitude': '37.778164901', 'longitude': '-122.404677383999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-022,(5) First Construction Document Issued,833 Bryant St,833,Bryant,St,94103,3779,133,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,2019-11-20T00:00:00.000,2020-03-09T00:00:00.000,2020-03-09T00:00:00.000,2022-05-03T00:00:00.000,Mercy Housing California,,San Francisco Homes for the Homeless No. 1 LLC,2019-000118PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2019-000118PRJ'},,2019-10-28T00:00:00.000,,146,145,1,99.00,0,0,145,0,0,0,0,0,1,1bd,145,0,0,145,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,37.775021000000,-122.403259000000,"{'latitude': '37.775021', 'longitude': '-122.403259', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2019-004,(5) First Construction Document Issued,1830 Alemany Blvd (formerly 915 Cayuga Ave),1830,Alemany,Blvd,94112,6954,039,11,Outer Mission,Outer Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2019-09-16T00:00:00.000,2020-01-10T00:00:00.000,2020-01-10T00:00:00.000,2022-03-05T00:00:00.000,"SYTS Investments, LLC",,,2016-013850PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-013850PRJ'},,2019-04-11T00:00:00.000,On-site BMR Project,116,58,58,50.0,0,16,17,21,4,0,0,0,0,,58,0,0,0,0,0,0,0,0,0,0,11,0,12,0,35,0,0,0,0,0,0,37.723283000000,-122.438891000000,"{'latitude': '37.723283', 'longitude': '-122.438891', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2017-009,(5) First Construction Document Issued,1028 Market,1028,Market,St,94102,0350,002,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2018-12-07T00:00:00.000,2019-10-18T00:00:00.000,2019-10-18T00:00:00.000,2021-12-11T00:00:00.000,"LCL Global-1028 Market Street, LLC",,,2014.0241,{'url': 'http://propertymap.sfplanning.org/?search=2014.0241'},"2014.0241CUA,2014.0241E,2014.0241SHD,2014.0241U,2014.0241VAR,2014.0241X",2017-01-26T00:00:00.000,On-site BMR Project,186,25,161,13.00,0,13,2,8,2,0,0,0,0,,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,37.781883481000,-122.411323333999,"{'latitude': '37.781883481', 'longitude': '-122.411323333999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2016-074,(5) First Construction Document Issued,Mission Bay South 6 West,691,China Basin,St,94158,8711,020,6,Mission Bay,South of Market,OCII,Multifamily Rental Program,Mission Bay,New Construction,Rental,,2019-05-01T00:00:00.000,2018-10-29T00:00:00.000,2019-03-07T00:00:00.000,2019-03-07T00:00:00.000,2021-04-01T00:00:00.000,Mercy Housing California,,Mercy Housing California 78 L.P.,Not Applicable,,,,,152,151,1,99.00,0,10,34,76,29,1,1,0,1,2bd,151,0,0,0,0,0,35,0,0,35,33,0,46,37,0,0,0,0,0,0,0,0,37.771359376000,-122.392478436999,"{'latitude': '37.771359376', 'longitude': '-122.392478436999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2015-068,(4) Site Work Permit Issued,1298 Valencia,1298,Valencia,St,94110,3633,021,8,Mission,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,2019-01-02T00:00:00.000,,2019-07-03T00:00:00.000,2021-08-26T00:00:00.000,,,,2013.1404,{'url': 'http://propertymap.sfplanning.org/?search=2013.1404'},,2017-08-31T00:00:00.000,"On-site BMR Project, Fee Payment",35,1,34,3.00,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,37.752309641000,-122.420977366999,"{'latitude': '37.752309641', 'longitude': '-122.420977366999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2018-041,(4) Site Work Permit Issued,1075-1089 Folsom,1075,Folsom,St,94103,3754,"038, 039",6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,2019-12-20T00:00:00.000,,2020-06-19T00:00:00.000,2022-08-13T00:00:00.000,,,,2016-008438PRJ,{'url': 'http://propertymap.sfplanning.org/?search=2016-008438PRJ'},,2018-11-21T00:00:00.000,On-site BMR Project,48,12,36,25.00,0,12,0,0,0,0,0,0,0,,12,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,3,0,0,0,0,37.776925131000,-122.407188981999,"{'latitude': '37.776925131', 'longitude': '-122.407188981999', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
